class,selector,types,armv7_imp
gliveViewController,setAvatarViewController:,types 0x3c6521 v12@0:4@8,0x351fc9
gliveViewController,avatarViewController,types 0x3c64c5 @8@0:4,0x34f375
gliveViewController,setSendMailViewController:,types 0x3c6521 v12@0:4@8,0x351ff1
gliveViewController,sendMailViewController,types 0x3c64c5 @8@0:4,0x34f365
gliveViewController,setSmsController:,types 0x3c6521 v12@0:4@8,0x352019
gliveViewController,smsController,types 0x3c64c5 @8@0:4,0x34f355
gliveViewController,setFaceBookViewController:,types 0x3c6521 v12@0:4@8,0x352041
gliveViewController,faceBookViewController,types 0x3c64c5 @8@0:4,0x34f345
gliveViewController,setInteractViewController:,types 0x3c6521 v12@0:4@8,0x352069
gliveViewController,interactViewController,types 0x3c64c5 @8@0:4,0x34f335
gliveViewController,setM_interactFriendButton:,types 0x3c6521 v12@0:4@8,0x352091
gliveViewController,m_interactFriendButton,types 0x3c64c5 @8@0:4,0x34f325
gliveViewController,setFacebookFriendsTableView:,types 0x3c6521 v12@0:4@8,0x3520b9
gliveViewController,facebookFriendsTableView,types 0x3c64c5 @8@0:4,0x34f315
gliveViewController,setWebViews:,types 0x3c6521 v12@0:4@8,0x3520e1
gliveViewController,webViews,types 0x3c64c5 @8@0:4,0x34f305
gliveViewController,setWebPagesTitles:,types 0x3c6521 v12@0:4@8,0x352109
gliveViewController,webPagesTitles,types 0x3c64c5 @8@0:4,0x34f2f5
gliveViewController,setM_contentView:,types 0x3c6521 v12@0:4@8,0x352131
gliveViewController,m_contentView,types 0x3c64c5 @8@0:4,0x34f2e5
gliveViewController,setM_recommendGameButton:,types 0x3c6521 v12@0:4@8,0x352159
gliveViewController,m_recommendGameButton,types 0x3c64c5 @8@0:4,0x34f2d5
gliveViewController,setGlive_timer:,types 0x3c6521 v12@0:4@8,0x352181
gliveViewController,glive_timer,types 0x3c64c5 @8@0:4,0x34f2c5
gliveViewController,setConnectionTimer:,types 0x3c6521 v12@0:4@8,0x3521a9
gliveViewController,connectionTimer,types 0x3c64c5 @8@0:4,0x34f2b5
gliveViewController,setCheckForPopupMessagesTimer:,types 0x3c6521 v12@0:4@8,0x3521d1
gliveViewController,checkForPopupMessagesTimer,types 0x3c64c5 @8@0:4,0x34f2a5
gliveViewController,setPopup_animTimer:,types 0x3c6521 v12@0:4@8,0x3521f9
gliveViewController,popup_animTimer,types 0x3c64c5 @8@0:4,0x34f295
gliveViewController,setPopup_waitingMessageTimer:,types 0x3c6521 v12@0:4@8,0x352221
gliveViewController,popup_waitingMessageTimer,types 0x3c64c5 @8@0:4,0x34f285
gliveViewController,setActivityNotificationTimer:,types 0x3c6521 v12@0:4@8,0x352249
gliveViewController,activityNotificationTimer,types 0x3c64c5 @8@0:4,0x34f275
gliveViewController,setBrowser_haveActivity:,types 0x3c6851 v12@0:4c8,0x34f265
gliveViewController,browser_haveActivity,types 0x3c652b c8@0:4,0x34f255
gliveViewController,setReceivedData:,types 0x3c6521 v12@0:4@8,0x352271
gliveViewController,receivedData,types 0x3c64c5 @8@0:4,0x34f245
gliveViewController,setFakeWebView:,types 0x3c6521 v12@0:4@8,0x352299
gliveViewController,fakeWebView,types 0x3c64c5 @8@0:4,0x34f235
gliveViewController,setNTransition:,types 0x3c6748 v12@0:4i8,0x34f225
gliveViewController,nTransition,types 0x3c6661 i8@0:4,0x34f215
gliveViewController,setNPagesToRemove:,types 0x3c6748 v12@0:4i8,0x34f205
gliveViewController,nPagesToRemove,types 0x3c6661 i8@0:4,0x34f1f5
gliveViewController,setInboxBadge:,types 0x3c6521 v12@0:4@8,0x3522c1
gliveViewController,inboxBadge,types 0x3c64c5 @8@0:4,0x34f1e5
gliveViewController,setFriendsBadge:,types 0x3c6521 v12@0:4@8,0x3522e9
gliveViewController,friendsBadge,types 0x3c64c5 @8@0:4,0x34f1d5
gliveViewController,setGamesBadge:,types 0x3c6521 v12@0:4@8,0x352311
gliveViewController,gamesBadge,types 0x3c64c5 @8@0:4,0x34f1c5
gliveViewController,setSaveFileName:,types 0x3c6521 v12@0:4@8,0x352339
gliveViewController,saveFileName,types 0x3c64c5 @8@0:4,0x34f1b5
gliveViewController,setDeviceToken:,types 0x3c6521 v12@0:4@8,0x35235d
gliveViewController,deviceToken,types 0x3c64c5 @8@0:4,0x34f1a5
gliveViewController,setMPassword:,types 0x3c6521 v12@0:4@8,0x352381
gliveViewController,mPassword,types 0x3c64c5 @8@0:4,0x34f195
gliveViewController,setMUsername:,types 0x3c6521 v12@0:4@8,0x3523a5
gliveViewController,mUsername,types 0x3c64c5 @8@0:4,0x34f185
gliveViewController,setBAutologin:,types 0x3c6851 v12@0:4c8,0x34f175
gliveViewController,bAutologin,types 0x3c652b c8@0:4,0x34f165
gliveViewController,setBNoBackground:,types 0x3c6851 v12@0:4c8,0x34f155
gliveViewController,bNoBackground,types 0x3c652b c8@0:4,0x34f145
gliveViewController,autorelease,types 0x3c64c5 @8@0:4,0x34f141
gliveViewController,release,types 0x3c6510 v8@0:4,0x34f13d
gliveViewController,retainCount,types 0x3c657b I8@0:4,0x34f135
gliveViewController,retain,types 0x3c64c5 @8@0:4,0x34f131
gliveViewController,copyWithZone:,types 0x3c683d @12@0:4^{_NSZone=}8,0x34f12d
gliveViewController,isFW3,types 0x3c685b B8@0:4,0x3523c9
gliveViewController,reloadHomePage,types 0x3c6510 v8@0:4,0x352429
gliveViewController,downloadSaveFile:,types 0x3c6521 v12@0:4@8,0x35244d
gliveViewController,uploadSaveFile:,types 0x3c6521 v12@0:4@8,0x352471
gliveViewController,isInGLive,types 0x3c685b B8@0:4,0x34f11d
gliveViewController,releaseAllObjectsFromSuperview,types 0x3c6510 v8@0:4,0x352495
gliveViewController,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x352e4d
gliveViewController,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x352ec9
gliveViewController,SaveUserInfo:::,types 0x3c6862 B20@0:4B8r*12r*16,0x352ef5
gliveViewController,ReadUserInfo::::,types 0x3c6874 B24@0:4*8i12*16i20,0x352fb1
gliveViewController,NotifyTrophy:,types 0x3c6748 v12@0:4i8,0x353075
gliveViewController,reloadCurrentWebView,types 0x3c6510 v8@0:4,0x353125
gliveViewController,reloadPage,types 0x3c6510 v8@0:4,0x353185
gliveViewController,showAlert:,types 0x3c6521 v12@0:4@8,0x3531cd
gliveViewController,startAlert:,types 0x3c6521 v12@0:4@8,0x353251
gliveViewController,endUploadingPhoto,types 0x3c6510 v8@0:4,0x35329d
gliveViewController,startUploadingPhoto,types 0x3c6510 v8@0:4,0x353309
gliveViewController,sendForSearchFacebookData:,types 0x3c6521 v12@0:4@8,0x3533c9
gliveViewController,gotoUrlForSaveFacebookData::,types 0x3c64d3 v16@0:4@8@12,0x3535e5
gliveViewController,sendForSaveFacebookDataFromAutoLogin::,types 0x3c64d3 v16@0:4@8@12,0x353725
gliveViewController,sendForSaveFacebookData::,types 0x3c64d3 v16@0:4@8@12,0x3516c5
gliveViewController,sendMails,types 0x3c6510 v8@0:4,0x353925
gliveViewController,loadImageFromRes:,types 0x3c6692 @12@0:4@8,0x353c31
gliveViewController,quitGLIVE:,types 0x3c6521 v12@0:4@8,0x3516ad
gliveViewController,resetButtonsImage:,types 0x3c6748 v12@0:4i8,0x351539
gliveViewController,footerActionMethod:,types 0x3c6521 v12@0:4@8,0x353d01
gliveViewController,recommendGame:,types 0x3c6521 v12@0:4@8,0x3513a5
gliveViewController,friendInteract:,types 0x3c6521 v12@0:4@8,0x351171
gliveViewController,viewFacebookFriends:,types 0x3c6521 v12@0:4@8,0x350ef9
gliveViewController,getFacebookFriends,types 0x3c6510 v8@0:4,0x350dc9
gliveViewController,setFaceBookStatus:,types 0x3c6521 v12@0:4@8,0x350c69
gliveViewController,facebookLogin:,types 0x3c6887 v12@0:4B8,0x3509d9
gliveViewController,sendNewMessageWithText:,types 0x3c6521 v12@0:4@8,0x3507d1
gliveViewController,sendNewMessageToFriend::,types 0x3c64d3 v16@0:4@8@12,0x350575
gliveViewController,sendMail:gameid:url:,types 0x3c6891 v20@0:4c8@12@16,0x350369
gliveViewController,sendMail:,types 0x3c6851 v12@0:4c8,0x3501bd
gliveViewController,sendNewMessage:,types 0x3c6521 v12@0:4@8,0x350009
gliveViewController,openLink:,types 0x3c6521 v12@0:4@8,0x34fed1
gliveViewController,showHTTPNotConnected:,types 0x3c6521 v12@0:4@8,0x34fe15
gliveViewController,showHTTPErrorConnection:,types 0x3c6521 v12@0:4@8,0x34fd4d
gliveViewController,webView:didFailWithError:,types 0x3c64d3 v16@0:4@8@12,0x3543f1
gliveViewController,webViewDidFinishLoad:,types 0x3c6521 v12@0:4@8,0x354449
gliveViewController,webViewDidStartLoad:,types 0x3c6521 v12@0:4@8,0x35502d
gliveViewController,stopActivityTimer,types 0x3c6510 v8@0:4,0x34fd11
gliveViewController,startActivityTimer,types 0x3c6510 v8@0:4,0x34fcc1
gliveViewController,startActivityNotificationMethod:,types 0x3c6521 v12@0:4@8,0x34fc89
gliveViewController,gotoAddress:,types 0x3c6521 v12@0:4@8,0x34f119
gliveViewController,goForward:,types 0x3c6521 v12@0:4@8,0x34f115
gliveViewController,goBack:,types 0x3c6521 v12@0:4@8,0x3554b1
gliveViewController,webView:shouldStartLoadWithRequest:navigationType:,types 0x3c66b4 c20@0:4@8@12i16,0x355cad
gliveViewController,gotoUrlAddress:,types 0x3c6851 v12@0:4c8,0x34f7dd
gliveViewController,viewDidAppear,types 0x3c6510 v8@0:4,0x3569e9
gliveViewController,startGLIVE:::::goToAddFriends:,types 0x3c68a1 v32@0:4i8@12@16@20B24B28,0x356aa9
gliveViewController,startGLIVE:::::,types 0x3c68ba v28@0:4i8@12@16@20B24,0x34f7a9
gliveViewController,startGLIVE::::,types 0x3c68d0 v24@0:4i8@12@16@20,0x34f77d
gliveViewController,startGLIVE:::,types 0x3c68e3 v20@0:4i8@12@16,0x34f751
gliveViewController,startGLLiveManager,types 0x3c6510 v8@0:4,0x359799
gliveViewController,startThread,types 0x3c6510 v8@0:4,0x35987d
gliveViewController,getNextPopupMessage,types 0x3c6510 v8@0:4,0x35988d
gliveViewController,popupShowMessageTimeExpireMethod:,types 0x3c6521 v12@0:4@8,0x34f0bd
gliveViewController,touchesBegan:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x34f0a5
gliveViewController,updatePopupMethod:,types 0x3c6521 v12@0:4@8,0x359ad5
gliveViewController,checkForPopupNewMessagesMethod:,types 0x3c6521 v12@0:4@8,0x34f5d1
gliveViewController,initAndPreparePopupMessages,types 0x3c6510 v8@0:4,0x34f511
gliveViewController,loadView,types 0x3c6510 v8@0:4,0x34f475
gliveViewController,allocWithZone:,types 0x3c683d @12@0:4^{_NSZone=}8,0x3518c5
gliveViewController,sharedSingleton,types 0x3c64c5 @8@0:4,0x3519a1
gliveViewController,macaddress,types 0x3c64c5 @8@0:4,0x351a75
gliveViewController,encodeBase64WithData:,types 0x3c6692 @12@0:4@8,0x351b7d
gliveViewController,EncryptAES::,types 0x3c681d @16@0:4@8@12,0x351cad
InteractViewController,setInteractActionSheet:,types 0x3c6521 v12@0:4@8,0x35c425
InteractViewController,interactActionSheet,types 0x3c64c5 @8@0:4,0x35af19
InteractViewController,setShowInteractActionSheetButton:,types 0x3c6521 v12@0:4@8,0x35c44d
InteractViewController,showInteractActionSheetButton,types 0x3c64c5 @8@0:4,0x35af09
InteractViewController,setBack:,types 0x3c6521 v12@0:4@8,0x35c475
InteractViewController,back,types 0x3c64c5 @8@0:4,0x35aef9
InteractViewController,setNavigationBar:,types 0x3c6521 v12@0:4@8,0x35c49d
InteractViewController,navigationBar,types 0x3c64c5 @8@0:4,0x35aee9
InteractViewController,setTableController:,types 0x3c6521 v12@0:4@8,0x35c4c5
InteractViewController,tableController,types 0x3c64c5 @8@0:4,0x35aed9
InteractViewController,setCancelSelectBarButton:,types 0x3c6521 v12@0:4@8,0x35c4ed
InteractViewController,cancelSelectBarButton,types 0x3c64c5 @8@0:4,0x35aec9
InteractViewController,setDoneSelectBarButton:,types 0x3c6521 v12@0:4@8,0x35c515
InteractViewController,doneSelectBarButton,types 0x3c64c5 @8@0:4,0x35aeb9
InteractViewController,setUserIdString:,types 0x3c6521 v12@0:4@8,0x35c53d
InteractViewController,userIdString,types 0x3c64c5 @8@0:4,0x35aea9
InteractViewController,setUserNameString:,types 0x3c6521 v12@0:4@8,0x35c565
InteractViewController,userNameString,types 0x3c64c5 @8@0:4,0x35ae99
InteractViewController,setBRecommendGame:,types 0x3c6851 v12@0:4c8,0x35ae89
InteractViewController,bRecommendGame,types 0x3c652b c8@0:4,0x35ae79
InteractViewController,setBInteractFriend:,types 0x3c6851 v12@0:4c8,0x35ae69
InteractViewController,bInteractFriend,types 0x3c652b c8@0:4,0x35ae59
InteractViewController,setBIsFriend:,types 0x3c6851 v12@0:4c8,0x35ae49
InteractViewController,bIsFriend,types 0x3c652b c8@0:4,0x35ae39
InteractViewController,setBShowAddFriend:,types 0x3c6851 v12@0:4c8,0x35ae29
InteractViewController,bShowAddFriend,types 0x3c652b c8@0:4,0x35ae19
InteractViewController,setIGameid:,types 0x3c6521 v12@0:4@8,0x35c58d
InteractViewController,iGameid,types 0x3c64c5 @8@0:4,0x35ae09
InteractViewController,setSGameName:,types 0x3c6521 v12@0:4@8,0x35c5b5
InteractViewController,sGameName,types 0x3c64c5 @8@0:4,0x35adf9
InteractViewController,setSMessage:,types 0x3c6521 v12@0:4@8,0x35c5dd
InteractViewController,sMessage,types 0x3c64c5 @8@0:4,0x35ade9
InteractViewController,setBShowRate:,types 0x3c6851 v12@0:4c8,0x35add9
InteractViewController,bShowRate,types 0x3c652b c8@0:4,0x35adc9
InteractViewController,dealloc,types 0x3c6510 v8@0:4,0x35c605
InteractViewController,viewDidUnload,types 0x3c6510 v8@0:4,0x35adc5
InteractViewController,didReceiveMemoryWarning,types 0x3c6510 v8@0:4,0x35c3f9
InteractViewController,loadView,types 0x3c6510 v8@0:4,0x35be15
InteractViewController,reinit,types 0x3c6510 v8@0:4,0x35ada5
InteractViewController,alertView:clickedButtonAtIndex:,types 0x3c660c v16@0:4@8i12,0x35bc85
InteractViewController,actionSheet:clickedButtonAtIndex:,types 0x3c660c v16@0:4@8i12,0x35b6c1
InteractViewController,showActionSheet:,types 0x3c6521 v12@0:4@8,0x35b3cd
InteractViewController,doBack:,types 0x3c6521 v12@0:4@8,0x35b3a5
InteractViewController,doneSelect:,types 0x3c6521 v12@0:4@8,0x35b301
InteractViewController,cancelSelect:,types 0x3c6521 v12@0:4@8,0x35b25d
InteractViewController,showPickerPhone,types 0x3c6510 v8@0:4,0x35b0cd
InteractViewController,showPickerMail,types 0x3c6510 v8@0:4,0x35af29
InteractViewController,getPeopleWithPhone,types 0x3c64c5 @8@0:4,0x35c2cd
InteractViewController,getPeopleWithMail,types 0x3c64c5 @8@0:4,0x35c1a1
contentInset,contentInset,types 0x3c6c51 {UIEdgeInsets=ffff}8@0:4,0x35c701
OverlayViewController,setTableController:,types 0x3c6521 v12@0:4@8,0x35c7f9
OverlayViewController,tableController,types 0x3c64c5 @8@0:4,0x35c721
OverlayViewController,dealloc,types 0x3c6510 v8@0:4,0x35c821
OverlayViewController,viewDidUnload,types 0x3c6510 v8@0:4,0x35c71d
OverlayViewController,didReceiveMemoryWarning,types 0x3c6510 v8@0:4,0x35c7cd
OverlayViewController,loadView,types 0x3c6510 v8@0:4,0x35c771
OverlayViewController,touchesBegan:withEvent:,types 0x3c64d3 v16@0:4@8@12,0x35c731
SendMailViewController,setOpenAddressBookButton:,types 0x3c6521 v12@0:4@8,0x35ed35
SendMailViewController,openAddressBookButton,types 0x3c64c5 @8@0:4,0x35cb21
SendMailViewController,setMailController:,types 0x3c6521 v12@0:4@8,0x35ed5d
SendMailViewController,mailController,types 0x3c64c5 @8@0:4,0x35cb11
SendMailViewController,setMailBar:,types 0x3c6521 v12@0:4@8,0x35ed85
SendMailViewController,mailBar,types 0x3c64c5 @8@0:4,0x35cb01
SendMailViewController,setDoneSendMailBarButton:,types 0x3c6521 v12@0:4@8,0x35edad
SendMailViewController,doneSendMailBarButton,types 0x3c64c5 @8@0:4,0x35caf1
SendMailViewController,setCancelSendMailBarButton:,types 0x3c6521 v12@0:4@8,0x35edd5
SendMailViewController,cancelSendMailBarButton,types 0x3c64c5 @8@0:4,0x35cae1
SendMailViewController,setDoneSelectMailBarButton:,types 0x3c6521 v12@0:4@8,0x35edfd
SendMailViewController,doneSelectMailBarButton,types 0x3c64c5 @8@0:4,0x35cad1
SendMailViewController,setCancelSelectMailBarButton:,types 0x3c6521 v12@0:4@8,0x35ee25
SendMailViewController,cancelSelectMailBarButton,types 0x3c64c5 @8@0:4,0x35cac1
SendMailViewController,setMailScrollView:,types 0x3c6521 v12@0:4@8,0x35ee4d
SendMailViewController,mailScrollView,types 0x3c64c5 @8@0:4,0x35cab1
SendMailViewController,setMailTextView:,types 0x3c6521 v12@0:4@8,0x35ee75
SendMailViewController,mailTextView,types 0x3c64c5 @8@0:4,0x35caa1
SendMailViewController,setRecipientsNamesArray:,types 0x3c6521 v12@0:4@8,0x35ee9d
SendMailViewController,recipientsNamesArray,types 0x3c64c5 @8@0:4,0x35ca91
SendMailViewController,setRecipientsMailsArray:,types 0x3c6521 v12@0:4@8,0x35eec5
SendMailViewController,recipientsMailsArray,types 0x3c64c5 @8@0:4,0x35ca81
SendMailViewController,setRecipientsTextFieldsArray:,types 0x3c6521 v12@0:4@8,0x35eeed
SendMailViewController,recipientsTextFieldsArray,types 0x3c64c5 @8@0:4,0x35ca71
SendMailViewController,setLineBreakLabel:,types 0x3c6521 v12@0:4@8,0x35ef15
SendMailViewController,lineBreakLabel,types 0x3c64c5 @8@0:4,0x35ca61
SendMailViewController,setMyWebView:,types 0x3c6521 v12@0:4@8,0x35ef3d
SendMailViewController,myWebView,types 0x3c64c5 @8@0:4,0x35ca51
SendMailViewController,setReceivedData:,types 0x3c6521 v12@0:4@8,0x35ef65
SendMailViewController,receivedData,types 0x3c64c5 @8@0:4,0x35ca41
SendMailViewController,setSubjectLabel:,types 0x3c6521 v12@0:4@8,0x35ef8d
SendMailViewController,subjectLabel,types 0x3c64c5 @8@0:4,0x35ca31
SendMailViewController,setAddButtonTouchArea:,types 0x3c6521 v12@0:4@8,0x35efb5
SendMailViewController,addButtonTouchArea,types 0x3c64c5 @8@0:4,0x35ca21
SendMailViewController,setUrlView:,types 0x3c6521 v12@0:4@8,0x35efdd
SendMailViewController,urlView,types 0x3c64c5 @8@0:4,0x35ca11
SendMailViewController,setGameId:,types 0x3c6521 v12@0:4@8,0x35f001
SendMailViewController,gameId,types 0x3c64c5 @8@0:4,0x35ca01
SendMailViewController,setTextFieldForEdit:,types 0x3c6521 v12@0:4@8,0x35f025
SendMailViewController,textFieldForEdit,types 0x3c64c5 @8@0:4,0x35c9f1
SendMailViewController,dealloc,types 0x3c6510 v8@0:4,0x35f04d
SendMailViewController,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x35e4f9
SendMailViewController,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x35e4cd
SendMailViewController,webViewDidFinishLoad:,types 0x3c6521 v12@0:4@8,0x35e435
SendMailViewController,webViewDidStartLoad:,types 0x3c6521 v12@0:4@8,0x35e3e9
SendMailViewController,addSelectedMails:,types 0x3c6521 v12@0:4@8,0x35eba5
SendMailViewController,addAddFriendButtonToView,types 0x3c6510 v8@0:4,0x35f2d1
SendMailViewController,addTextFieldToViewForEditing:,types 0x3c6521 v12@0:4@8,0x35f3e9
SendMailViewController,addTextFieldToView:,types 0x3c6521 v12@0:4@8,0x35f521
SendMailViewController,addTextFieldForEditing,types 0x3c6510 v8@0:4,0x35f7cd
SendMailViewController,addTextFieldWithString:,types 0x3c6521 v12@0:4@8,0x35f975
SendMailViewController,refreshRecipientsList,types 0x3c6510 v8@0:4,0x35fc15
SendMailViewController,keyboardDidHide:,types 0x3c6521 v12@0:4@8,0x35e3c5
SendMailViewController,willHideKeyboard:,types 0x3c6521 v12@0:4@8,0x35e3a1
SendMailViewController,keyboardDidShow:,types 0x3c6521 v12@0:4@8,0x35e37d
SendMailViewController,willShowKeyboard:,types 0x3c6521 v12@0:4@8,0x35e339
SendMailViewController,keyPressed:,types 0x3c6521 v12@0:4@8,0x35c9ed
SendMailViewController,textField:shouldChangeCharactersInRange:replacementString:,types 0x3c6709 c24@0:4@8{_NSRange=II}12@20,0x35ffd9
SendMailViewController,textfieldDidChange:,types 0x3c6521 v12@0:4@8,0x360029
SendMailViewController,startAddMail,types 0x3c652b c8@0:4,0x35e2e1
SendMailViewController,textFieldShouldReturn:,types 0x3c6594 c12@0:4@8,0x35e2c5
SendMailViewController,addEditedTextFild,types 0x3c6510 v8@0:4,0x360155
SendMailViewController,textFieldDidEndEditing:,types 0x3c6521 v12@0:4@8,0x3602d1
SendMailViewController,textFieldDidBeginEditing:,types 0x3c6521 v12@0:4@8,0x35c9e9
SendMailViewController,textFieldShouldBeginEditing:,types 0x3c6594 c12@0:4@8,0x35e1c5
SendMailViewController,viewDidUnload,types 0x3c6510 v8@0:4,0x35c9e5
SendMailViewController,didReceiveMemoryWarning,types 0x3c6510 v8@0:4,0x35ed09
SendMailViewController,loadView,types 0x3c6510 v8@0:4,0x35d2e9
SendMailViewController,reinit,types 0x3c6510 v8@0:4,0x35d16d
SendMailViewController,doneSelectMail:,types 0x3c6521 v12@0:4@8,0x35d021
SendMailViewController,cancelSelectMail:,types 0x3c6521 v12@0:4@8,0x35cef1
SendMailViewController,cancelSendMail:,types 0x3c6521 v12@0:4@8,0x35cd5d
SendMailViewController,doneSendMail:,types 0x3c6521 v12@0:4@8,0x35e699
SendMailViewController,showPicker:,types 0x3c6521 v12@0:4@8,0x35cb31
SendMailViewController,getPeopleWithMail,types 0x3c64c5 @8@0:4,0x35e575
SendMailViewController,sendMail:,types 0x3c6521 v12@0:4@8,0x35c9e1
SendSmsViewController,setNavigationBar:,types 0x3c6521 v12@0:4@8,0x36209d
SendSmsViewController,navigationBar,types 0x3c64c5 @8@0:4,0x3604f5
SendSmsViewController,setSmsContentView:,types 0x3c6521 v12@0:4@8,0x3620c5
SendSmsViewController,smsContentView,types 0x3c64c5 @8@0:4,0x3604e5
SendSmsViewController,setBackgroundView:,types 0x3c6521 v12@0:4@8,0x3620ed
SendSmsViewController,backgroundView,types 0x3c64c5 @8@0:4,0x3604d5
SendSmsViewController,setSendButton:,types 0x3c6521 v12@0:4@8,0x362115
SendSmsViewController,sendButton,types 0x3c64c5 @8@0:4,0x3604c5
SendSmsViewController,setToLabel:,types 0x3c6521 v12@0:4@8,0x36213d
SendSmsViewController,toLabel,types 0x3c64c5 @8@0:4,0x3604b5
SendSmsViewController,setRecipientsScrollView:,types 0x3c6521 v12@0:4@8,0x362165
SendSmsViewController,recipientsScrollView,types 0x3c64c5 @8@0:4,0x3604a5
SendSmsViewController,setRecipientsNamesArray:,types 0x3c6521 v12@0:4@8,0x36218d
SendSmsViewController,recipientsNamesArray,types 0x3c64c5 @8@0:4,0x360495
SendSmsViewController,setRecipientsUsersIdArray:,types 0x3c6521 v12@0:4@8,0x3621b5
SendSmsViewController,recipientsUsersIdArray,types 0x3c64c5 @8@0:4,0x360485
SendSmsViewController,setRecipientsTexFieldsArray:,types 0x3c6521 v12@0:4@8,0x3621dd
SendSmsViewController,recipientsTexFieldsArray,types 0x3c64c5 @8@0:4,0x360475
SendSmsViewController,setAddButton:,types 0x3c6521 v12@0:4@8,0x362205
SendSmsViewController,addButton,types 0x3c64c5 @8@0:4,0x360465
SendSmsViewController,setMyWebView:,types 0x3c6521 v12@0:4@8,0x36222d
SendSmsViewController,myWebView,types 0x3c64c5 @8@0:4,0x360455
SendSmsViewController,setReceivedData:,types 0x3c6521 v12@0:4@8,0x362255
SendSmsViewController,receivedData,types 0x3c64c5 @8@0:4,0x360445
SendSmsViewController,setAddButtonTouchArea:,types 0x3c6521 v12@0:4@8,0x36227d
SendSmsViewController,addButtonTouchArea,types 0x3c64c5 @8@0:4,0x360435
SendSmsViewController,setAllowAddRecipients:,types 0x3c6851 v12@0:4c8,0x360425
SendSmsViewController,allowAddRecipients,types 0x3c652b c8@0:4,0x360415
SendSmsViewController,setCloseButton:,types 0x3c6521 v12@0:4@8,0x3622a5
SendSmsViewController,closeButton,types 0x3c64c5 @8@0:4,0x360405
SendSmsViewController,dealloc,types 0x3c6510 v8@0:4,0x3622cd
SendSmsViewController,showFriends:,types 0x3c6521 v12@0:4@8,0x361f0d
SendSmsViewController,connectionDidFinishLoading:,types 0x3c6521 v12@0:4@8,0x361e61
SendSmsViewController,connection:didReceiveData:,types 0x3c64d3 v16@0:4@8@12,0x361e35
SendSmsViewController,webView:shouldStartLoadWithRequest:navigationType:,types 0x3c66b4 c20@0:4@8@12i16,0x362509
SendSmsViewController,cancelLoadFriends:,types 0x3c6521 v12@0:4@8,0x361d89
SendSmsViewController,webViewDidFinishLoad:,types 0x3c6521 v12@0:4@8,0x361d1d
SendSmsViewController,webViewDidStartLoad:,types 0x3c6521 v12@0:4@8,0x360401
SendSmsViewController,viewDidUnload,types 0x3c6510 v8@0:4,0x3603fd
SendSmsViewController,didReceiveMemoryWarning,types 0x3c6510 v8@0:4,0x36277d
SendSmsViewController,addAddFriendButtonToView,types 0x3c6510 v8@0:4,0x3627a9
SendSmsViewController,addTextFieldToView:,types 0x3c6521 v12@0:4@8,0x3628e9
SendSmsViewController,addTextFieldWithString:,types 0x3c6521 v12@0:4@8,0x362b85
SendSmsViewController,refreshRecipientsList,types 0x3c6510 v8@0:4,0x362e2d
SendSmsViewController,done:,types 0x3c6521 v12@0:4@8,0x361831
SendSmsViewController,cancel:,types 0x3c6521 v12@0:4@8,0x3616ed
SendSmsViewController,keyboardDidHide:,types 0x3c6521 v12@0:4@8,0x3616c9
SendSmsViewController,willHideKeyboard:,types 0x3c6521 v12@0:4@8,0x3616a5
SendSmsViewController,keyboardDidShow:,types 0x3c6521 v12@0:4@8,0x361681
SendSmsViewController,willShowKeyboard:,types 0x3c6521 v12@0:4@8,0x36165d
SendSmsViewController,keyPressed:,types 0x3c6521 v12@0:4@8,0x3631e9
SendSmsViewController,textFieldDidEndEditing:,types 0x3c6521 v12@0:4@8,0x3615e9
SendSmsViewController,textFieldDidBeginEditing:,types 0x3c6521 v12@0:4@8,0x361575
SendSmsViewController,textFieldShouldBeginEditing:,types 0x3c6594 c12@0:4@8,0x3614cd
SendSmsViewController,textViewDidChange:,types 0x3c6521 v12@0:4@8,0x3632e9
SendSmsViewController,textViewDidEndEditing:,types 0x3c6521 v12@0:4@8,0x3603f9
SendSmsViewController,textViewDidBeginEditing:,types 0x3c6521 v12@0:4@8,0x3603f5
SendSmsViewController,setResponder,types 0x3c6510 v8@0:4,0x3614a9
SendSmsViewController,viewDidLoad,types 0x3c6510 v8@0:4,0x362071
SendSmsViewController,loadView,types 0x3c6510 v8@0:4,0x3606bd
SendSmsViewController,initArrays,types 0x3c6510 v8@0:4,0x360505
TableViewController,setListOfItems:,types 0x3c6521 v12@0:4@8,0x364aa5
TableViewController,listOfItems,types 0x3c64c5 @8@0:4,0x3636f5
TableViewController,setMySearchBar:,types 0x3c6521 v12@0:4@8,0x364acd
TableViewController,mySearchBar,types 0x3c64c5 @8@0:4,0x3636e5
TableViewController,setMyTableView:,types 0x3c6521 v12@0:4@8,0x364af5
TableViewController,myTableView,types 0x3c64c5 @8@0:4,0x3636d5
TableViewController,setTableData:,types 0x3c6521 v12@0:4@8,0x364b1d
TableViewController,tableData,types 0x3c64c5 @8@0:4,0x3636c5
TableViewController,setSelectedItems:,types 0x3c6521 v12@0:4@8,0x364b45
